id,image,pixel_bbox,gps_top_left,gps_bottom_right
1,tile_0_0.tif,"[506, 112, 542, 151]","(238870.4358772713, 8062654.454153502)","(238870.74187727127, 8062654.122653502)"
2,tile_0_0.tif,"[187, 491, 219, 511]","(238867.72437727128, 8062651.232653502)","(238867.99637727128, 8062651.062653502)"
3,tile_0_0.tif,"[743, 670, 781, 693]","(238872.45037727128, 8062649.711153503)","(238872.77337727128, 8062649.515653502)"
4,tile_0_0.tif,"[592, 300, 618, 331]","(238871.1668772713, 8062652.856153502)","(238871.38787727128, 8062652.592653502)"
5,tile_0_0.tif,"[1533, 421, 1582, 447]","(238879.16537727127, 8062651.827653502)","(238879.5818772713, 8062651.606653502)"
6,tile_0_10944.tif,"[1435, 790, 1482, 814]","(238971.3563772713, 8062648.691153502)","(238971.7558772713, 8062648.487153502)"
7,tile_0_10944.tif,"[41, 593, 88, 621]","(238959.50737727128, 8062650.365653502)","(238959.90687727128, 8062650.127653502)"
8,tile_0_10944.tif,"[1748, 699, 1781, 743]","(238974.0168772713, 8062649.464653502)","(238974.2973772713, 8062649.090653502)"
9,tile_0_10944.tif,"[871, 153, 896, 193]","(238966.5623772713, 8062654.105653502)","(238966.7748772713, 8062653.765653502)"
10,tile_0_10944.tif,"[626, 790, 651, 818]","(238964.47987727128, 8062648.691153502)","(238964.69237727128, 8062648.453153502)"
11,tile_0_12768.tif,"[674, 160, 707, 184]","(238980.39187727126, 8062654.046153503)","(238980.6723772713, 8062653.842153503)"
12,tile_0_12768.tif,"[576, 628, 620, 665]","(238979.55887727128, 8062650.068153502)","(238979.93287727126, 8062649.753653502)"
13,tile_0_12768.tif,"[392, 538, 425, 587]","(238977.99487727127, 8062650.833153502)","(238978.27537727126, 8062650.416653502)"
14,tile_0_12768.tif,"[1591, 271, 1632, 297]","(238988.18637727128, 8062653.1026535025)","(238988.53487727128, 8062652.881653503)"
15,tile_0_12768.tif,"[114, 909, 141, 931]","(238975.63187727128, 8062647.679653502)","(238975.86137727127, 8062647.492653502)"
16,tile_0_14592.tif,"[1287, 737, 1328, 760]","(239001.1063772713, 8062649.141653502)","(239001.4548772713, 8062648.946153502)"
17,tile_0_14592.tif,"[1160, 517, 1181, 538]","(239000.0268772713, 8062651.0116535025)","(239000.20537727128, 8062650.833153502)"
18,tile_0_14592.tif,"[1014, 723, 1035, 750]","(238998.7858772713, 8062649.260653502)","(238998.9643772713, 8062649.031153502)"
19,tile_0_14592.tif,"[342, 961, 378, 989]","(238993.0738772713, 8062647.237653502)","(238993.37987727128, 8062646.999653502)"
20,tile_0_14592.tif,"[168, 248, 193, 272]","(238991.5948772713, 8062653.298153502)","(238991.8073772713, 8062653.094153502)"
21,tile_0_16416.tif,"[1238, 843, 1282, 884]","(239016.1938772713, 8062648.240653502)","(239016.56787727127, 8062647.892153502)"
22,tile_0_16416.tif,"[1672, 609, 1700, 635]","(239019.88287727127, 8062650.229653502)","(239020.12087727129, 8062650.008653502)"
23,tile_0_16416.tif,"[1578, 521, 1598, 541]","(239019.08387727127, 8062650.9776535025)","(239019.2538772713, 8062650.807653503)"
24,tile_0_16416.tif,"[1089, 572, 1130, 613]","(239014.92737727126, 8062650.544153502)","(239015.27587727128, 8062650.195653502)"
25,tile_0_16416.tif,"[1235, 576, 1267, 617]","(239016.16837727127, 8062650.510153502)","(239016.44037727127, 8062650.161653502)"
26,tile_0_1824.tif,"[1091, 549, 1135, 598]","(238890.91237727128, 8062650.739653503)","(238891.28637727126, 8062650.323153502)"
27,tile_0_1824.tif,"[870, 605, 891, 654]","(238889.03387727126, 8062650.263653502)","(238889.21237727127, 8062649.8471535025)"
28,tile_0_1824.tif,"[783, 178, 826, 199]","(238888.29437727126, 8062653.893153503)","(238888.65987727128, 8062653.714653502)"
29,tile_0_1824.tif,"[1552, 749, 1577, 774]","(238894.83087727128, 8062649.039653502)","(238895.04337727127, 8062648.827153502)"
30,tile_0_1824.tif,"[1229, 540, 1255, 575]","(238892.08537727126, 8062650.816153502)","(238892.30637727128, 8062650.518653502)"
31,tile_0_18240.tif,"[27, 147, 52, 191]","(239021.4043772713, 8062654.156653502)","(239021.6168772713, 8062653.782653502)"
32,tile_0_18240.tif,"[4, 964, 40, 1004]","(239021.2088772713, 8062647.212153502)","(239021.5148772713, 8062646.872153502)"
33,tile_0_18240.tif,"[39, 297, 63, 317]","(239021.5063772713, 8062652.881653503)","(239021.7103772713, 8062652.711653502)"
34,tile_0_18240.tif,"[29, 929, 64, 958]","(239021.4213772713, 8062647.509653502)","(239021.71887727128, 8062647.263153502)"
35,tile_0_18240.tif,"[18, 20, 55, 67]","(239021.32787727128, 8062655.236153502)","(239021.6423772713, 8062654.836653502)"
36,tile_0_3648.tif,"[1218, 536, 1266, 580]","(238907.49587727129, 8062650.850153502)","(238907.90387727128, 8062650.476153502)"
37,tile_0_3648.tif,"[677, 550, 715, 573]","(238902.8973772713, 8062650.731153502)","(238903.2203772713, 8062650.535653502)"
38,tile_0_3648.tif,"[1063, 780, 1085, 823]","(238906.17837727128, 8062648.776153502)","(238906.3653772713, 8062648.410653502)"
39,tile_0_3648.tif,"[1545, 27, 1576, 73]","(238910.2753772713, 8062655.1766535025)","(238910.5388772713, 8062654.785653502)"
40,tile_0_3648.tif,"[1140, 934, 1172, 962]","(238906.83287727128, 8062647.467153503)","(238907.10487727128, 8062647.229153502)"
41,tile_0_5472.tif,"[1026, 123, 1064, 171]","(238921.36787727126, 8062654.360653502)","(238921.69087727126, 8062653.952653502)"
42,tile_0_5472.tif,"[1033, 310, 1079, 348]","(238921.42737727126, 8062652.771153502)","(238921.81837727127, 8062652.448153502)"
43,tile_0_5472.tif,"[40, 266, 64, 307]","(238912.98687727127, 8062653.145153502)","(238913.19087727126, 8062652.796653503)"
44,tile_0_5472.tif,"[1768, 294, 1795, 323]","(238927.67487727126, 8062652.907153502)","(238927.90437727128, 8062652.660653502)"
45,tile_0_5472.tif,"[1377, 664, 1422, 705]","(238924.35137727126, 8062649.762153503)","(238924.73387727127, 8062649.413653502)"
46,tile_0_7296.tif,"[1645, 579, 1689, 619]","(238942.1333772713, 8062650.484653502)","(238942.50737727128, 8062650.144653502)"
47,tile_0_7296.tif,"[743, 951, 778, 981]","(238934.46637727128, 8062647.322653502)","(238934.7638772713, 8062647.067653502)"
48,tile_0_7296.tif,"[442, 955, 484, 991]","(238931.9078772713, 8062647.288653502)","(238932.2648772713, 8062646.982653502)"
49,tile_0_7296.tif,"[1519, 812, 1550, 855]","(238941.06237727127, 8062648.504153502)","(238941.32587727127, 8062648.138653502)"
50,tile_0_7296.tif,"[609, 154, 640, 203]","(238933.3273772713, 8062654.0971535025)","(238933.5908772713, 8062653.680653502)"
51,tile_0_9120.tif,"[985, 189, 1017, 214]","(238952.02737727127, 8062653.799653502)","(238952.29937727127, 8062653.587153502)"
52,tile_0_9120.tif,"[960, 372, 992, 407]","(238951.81487727127, 8062652.244153502)","(238952.08687727127, 8062651.946653502)"
53,tile_0_9120.tif,"[1639, 971, 1687, 995]","(238957.58637727128, 8062647.152653502)","(238957.99437727127, 8062646.948653502)"
